YEAR,QUARTER,MONTH,FL_DATE,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_DISTANCE,,
1,2,2,30,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,21,24,29,9,27,1,1,1,5,2,6,2,10,1
1,1,3,54,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,20,36,36,13,38,2,2,1,4,2,6,2,5,1
1,4,12,342,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83,29,98,107,29,99,2,2,1,29,2,19,2,29,1
1,2,6,25,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,14,19,21,8,19,1,1,1,3,2,2,2,3,1
1,4,11,269,142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,24,79,91,25,63,2,3,2,21,3,10,2,3,2
1,3,5,50,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,14,33,37,13,30,2,2,2,6,2,3,2,7,2
1,1,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,4,4,4,1,1,1,1,1,1,1,1,1
1,2,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,5,3,5,1,1,1,3,2,3,2,2,1
1,1,1,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,6,5,6,1,1,1,3,2,3,2,2,1
1,2,2,34,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,11,18,21,8,22,1,1,1,2,2,5,2,5,1
1,2,2,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,8,5,8,1,1,1,2,2,2,2,2,1
1,2,2,30,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,16,21,23,11,23,1,1,1,3,2,3,2,5,1
1,2,4,91,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,21,48,53,10,45,1,1,1,11,4,10,2,3,1
1,2,5,121,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,23,56,58,16,54,2,2,1,14,3,12,2,15,1
1,4,10,297,93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,59,30,79,88,25,79,2,2,2,20,2,11,2,18,2
1,1,1,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,10,10,13,7,13,2,3,1,5,2,4,2,5,1
1,1,3,49,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,16,28,38,15,35,1,1,1,6,2,3,2,7,1
1,1,3,17,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,10,15,14,7,15,1,1,1,5,2,3,2,3,1
1,1,3,65,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,21,35,36,10,38,2,2,1,7,2,4,2,7,1
1,4,12,365,78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54,27,86,99,34,68,2,2,1,18,2,6,2,2,1
1,1,2,27,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,12,23,26,16,24,2,2,1,4,3,5,2,5,1
1,2,3,59,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,21,43,43,14,40,2,2,1,12,3,8,2,14,1
1,2,2,23,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,13,18,18,11,20,1,1,1,4,3,6,2,7,1
1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
1,1,2,43,35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,18,29,28,12,28,1,1,1,3,3,5,2,5,1
1,1,2,34,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,15,27,30,15,30,1,1,1,6,2,8,2,8,1
1,2,4,21,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,12,18,19,10,18,1,1,1,4,2,4,2,2,1
1,1,2,32,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,14,21,26,15,24,2,2,1,2,2,2,2,4,1
1,2,5,83,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,22,47,53,20,49,2,2,1,6,2,5,2,14,1
1,2,5,124,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,21,56,64,17,59,2,2,2,17,3,15,2,23,2
1,1,2,34,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,13,27,23,12,27,1,1,1,6,2,3,2,7,1
1,4,11,303,136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,29,82,86,26,65,2,2,2,17,3,17,2,5,2
